;ref;sim
2001-01-01;5.7;9.2
2001-01-02;9.1;7.5
2001-01-03;16.7;13.0
2001-01-04;15.8;12.1
2001-01-05;22.5;19.8
2001-01-06;64.4;62.4
2001-01-07;38.4;31.5
2001-01-08;24.5;23.7
2001-01-09;17.9;18.4
2001-01-10;14.0;14.7
2001-01-11;14.6;19.2
2001-01-12;12.5;14.6
2001-01-13;10.3;11.1
2001-01-14;8.6;8.4
2001-01-15;7.5;6.5
2001-01-16;6.2;5.0
2001-01-17;5.3;3.9
2001-01-18;6.1;3.2
2001-01-19;5.3;3.3
2001-01-20;4.7;3.0
2001-01-21;4.4;2.4
2001-01-22;4.9;3.0
2001-01-23;8.9;15.0
2001-01-24;18.7;22.1
2001-01-25;21.4;20.5
2001-01-26;20.1;20.9
2001-01-27;23.1;23.8
2001-01-28;23.1;21.4
2001-01-29;17.9;16.3
2001-01-30;14.0;12.9
2001-01-31;11.3;9.9
2001-02-01;9.3;7.6
2001-02-02;8.2;6.0
2001-02-03;8.2;6.3
2001-02-04;16.9;25.5
2001-02-05;42.4;41.7
2001-02-06;41.7;32.3
2001-02-07;32.8;29.5
2001-02-08;26.0;23.9
2001-02-09;19.2;18.4
2001-02-10;14.0;14.5
2001-02-11;11.3;11.9
2001-02-12;9.7;9.9
2001-02-13;9.8;13.3
2001-02-14;8.4;10.3
2001-02-15;7.4;8.1
2001-02-16;6.8;7.1
2001-02-17;7.5;13.6
2001-02-18;7.9;11.4
2001-02-19;7.5;9.0
2001-02-20;7.5;8.0
2001-02-21;7.1;7.0
2001-02-22;7.4;9.2
2001-02-23;8.5;14.6
2001-02-24;9.4;11.3
2001-02-25;8.3;8.8
2001-02-26;8.0;7.0
2001-02-27;7.5;5.7
2001-02-28;7.2;6.0
2001-03-01;6.8;7.4
2001-03-02;6.4;8.6
2001-03-03;6.2;7.2
2001-03-04;6.1;6.8
2001-03-05;7.0;17.2
2001-03-06;7.2;13.8
2001-03-07;10.1;12.6
2001-03-08;16.4;13.3
2001-03-09;16.7;12.0
2001-03-10;15.1;13.1
2001-03-11;17.7;20.1
2001-03-12;22.7;22.0
2001-03-13;23.2;20.4
2001-03-14;25.1;23.7
2001-03-15;21.1;21.2
2001-03-16;18.3;18.6
2001-03-17;15.6;14.7
2001-03-18;14.1;14.2
2001-03-19;13.5;15.8
2001-03-20;11.6;13.9
2001-03-21;13.3;11.9
2001-03-22;24.9;23.1
2001-03-23;35.6;25.0
2001-03-24;42.7;34.0
2001-03-25;38.0;35.5
2001-03-26;30.5;28.4
2001-03-27;23.5;22.2
2001-03-28;18.6;19.2
2001-03-29;25.1;27.3
2001-03-30;24.2;23.9
2001-03-31;18.7;18.5
2001-04-01;15.1;14.4
2001-04-02;12.6;11.4
2001-04-03;10.8;9.7
2001-04-04;9.7;8.9
2001-04-05;9.5;12.3
2001-04-06;8.5;12.3
2001-04-07;10.7;15.9
2001-04-08;10.3;15.3
2001-04-09;8.9;13.7
2001-04-10;9.0;13.2
2001-04-11;9.6;14.2
2001-04-12;8.4;11.6
2001-04-13;7.5;9.5
2001-04-14;6.8;9.1
2001-04-15;16.3;21.6
2001-04-16;28.9;25.2
2001-04-17;24.9;24.9
2001-04-18;20.8;20.4
2001-04-19;17.1;17.7
2001-04-20;13.9;14.9
2001-04-21;11.6;13.0
2001-04-22;10.2;12.0
2001-04-23;9.0;9.5
2001-04-24;7.8;8.4
2001-04-25;14.1;16.1
2001-04-26;21.7;23.3
2001-04-27;21.6;22.5
2001-04-28;28.9;30.2
2001-04-29;33.4;30.1
2001-04-30;29.3;26.4
2001-05-01;21.9;20.5
2001-05-02;16.8;16.0
2001-05-03;13.8;12.7
2001-05-04;11.4;10.1
2001-05-05;9.4;8.2
2001-05-06;7.9;6.9
2001-05-07;6.9;6.1
2001-05-08;6.0;5.2
2001-05-09;5.4;4.5
2001-05-10;5.0;4.1
2001-05-11;4.5;3.7
2001-05-12;4.1;3.4
2001-05-13;3.8;3.1
2001-05-14;3.9;3.0
2001-05-15;4.0;3.8
2001-05-16;3.9;3.6
2001-05-17;4.3;4.9
2001-05-18;3.6;4.8
2001-05-19;3.2;4.4
2001-05-20;2.9;3.9
2001-05-21;2.7;3.5
2001-05-22;2.5;3.1
2001-05-23;2.5;2.9
2001-05-24;2.3;2.7
2001-05-25;2.2;2.6
2001-05-26;2.1;2.5
2001-05-27;2.0;2.4
2001-05-28;2.0;2.3
2001-05-29;1.9;2.2
2001-05-30;1.8;2.2
2001-05-31;1.9;2.1
2001-06-01;1.9;2.1
2001-06-02;2.0;2.1
2001-06-03;2.4;2.1
2001-06-04;2.3;2.2
2001-06-05;2.0;2.1
2001-06-06;1.9;2.0
2001-06-07;1.8;2.0
2001-06-08;2.5;2.1
2001-06-09;2.4;2.2
2001-06-10;2.0;2.1
2001-06-11;2.4;2.3
2001-06-12;2.2;2.4
2001-06-13;1.9;2.2
2001-06-14;2.5;2.5
2001-06-15;2.0;2.3
2001-06-16;2.0;2.3
2001-06-17;2.0;2.4
2001-06-18;2.5;2.8
2001-06-19;2.5;3.2
2001-06-20;1.9;2.8
2001-06-21;1.7;2.5
2001-06-22;1.6;2.2
2001-06-23;1.5;2.1
2001-06-24;1.5;1.9
2001-06-25;1.4;1.8
2001-06-26;1.4;1.7
2001-06-27;1.3;1.7
2001-06-28;1.5;1.7
2001-06-29;1.4;1.6
2001-06-30;1.6;1.6
2001-07-01;2.3;1.6
2001-07-02;1.6;1.5
2001-07-03;1.4;1.5
2001-07-04;1.3;1.5
2001-07-05;1.2;1.4
2001-07-06;1.2;1.4
2001-07-07;1.8;1.4
2001-07-08;1.6;1.5
2001-07-09;1.4;1.4
2001-07-10;1.3;1.4
2001-07-11;1.3;1.4
2001-07-12;1.3;1.4
2001-07-13;1.3;1.4
2001-07-14;2.1;1.5
2001-07-15;2.3;1.8
2001-07-16;1.7;1.6
2001-07-17;1.9;1.8
2001-07-18;1.7;1.9
2001-07-19;1.8;1.9
2001-07-20;1.9;1.9
2001-07-21;1.8;1.9
2001-07-22;1.5;1.7
2001-07-23;3.1;1.6
2001-07-24;4.7;1.9
2001-07-25;2.3;1.7
2001-07-26;1.7;1.5
2001-07-27;1.4;1.5
2001-07-28;1.2;1.4
2001-07-29;1.2;1.4
2001-07-30;1.1;1.3
2001-07-31;1.0;1.2
2001-08-01;1.0;1.2
2001-08-02;1.0;1.1
2001-08-03;1.0;1.1
2001-08-04;1.3;1.1
2001-08-05;1.1;1.1
2001-08-06;1.0;1.1
2001-08-07;1.2;1.1
2001-08-08;2.6;1.6
2001-08-09;2.7;2.7
2001-08-10;1.8;2.7
2001-08-11;1.4;2.4
2001-08-12;1.2;2.0
2001-08-13;1.1;1.7
2001-08-14;1.0;1.5
2001-08-15;0.9;1.3
2001-08-16;0.9;1.2
2001-08-17;0.9;1.1
2001-08-18;0.9;1.1
2001-08-19;0.9;1.0
2001-08-20;0.9;1.0
2001-08-21;0.9;0.9
2001-08-22;0.8;0.9
2001-08-23;0.8;0.9
2001-08-24;0.8;0.9
2001-08-25;0.8;0.8
2001-08-26;0.7;0.8
2001-08-27;0.7;0.8
2001-08-28;0.7;0.8
2001-08-29;0.7;0.8
2001-08-30;0.7;0.8
2001-08-31;0.7;0.8
2001-09-01;0.9;0.8
2001-09-02;0.8;0.7
2001-09-03;0.8;0.7
2001-09-04;1.0;0.7
2001-09-05;1.2;0.8
2001-09-06;1.4;0.8
2001-09-07;1.8;1.0
2001-09-08;1.4;1.3
2001-09-09;1.3;1.5
2001-09-10;1.3;1.5
2001-09-11;1.2;1.7
2001-09-12;1.2;1.6
2001-09-13;1.2;1.6
2001-09-14;1.6;1.9
2001-09-15;1.4;1.8
2001-09-16;2.0;2.5
2001-09-17;3.2;3.9
2001-09-18;2.3;3.1
2001-09-19;1.8;2.8
2001-09-20;4.9;4.9
2001-09-21;3.4;5.1
2001-09-22;2.5;5.0
2001-09-23;2.0;3.9
2001-09-24;1.7;3.1
2001-09-25;1.4;2.6
2001-09-26;1.6;3.2
2001-09-27;1.5;3.4
2001-09-28;1.4;2.7
2001-09-29;1.2;2.3
2001-09-30;1.3;2.4
2001-10-01;1.2;2.1
2001-10-02;1.2;2.6
2001-10-03;6.0;6.6
2001-10-04;5.9;6.7
2001-10-05;3.7;5.2
2001-10-06;2.8;4.4
2001-10-07;3.2;7.2
2001-10-08;2.8;5.7
2001-10-09;2.2;4.5
2001-10-10;1.9;3.6
2001-10-11;1.6;2.8
2001-10-12;1.4;2.3
2001-10-13;1.3;1.9
2001-10-14;1.3;1.6
2001-10-15;1.2;1.5
2001-10-16;1.2;1.3
2001-10-17;1.1;1.2
2001-10-18;1.1;1.1
2001-10-19;1.1;1.2
2001-10-20;1.1;1.0
2001-10-21;1.0;1.0
2001-10-22;1.0;0.9
2001-10-23;1.0;0.9
2001-10-24;1.4;1.7
2001-10-25;1.5;2.5
2001-10-26;1.5;2.3
2001-10-27;1.3;1.9
2001-10-28;1.2;1.9
2001-10-29;1.2;2.1
2001-10-30;1.2;1.7
2001-10-31;1.1;1.5
2001-11-01;1.2;2.0
2001-11-02;1.1;1.6
2001-11-03;1.1;1.3
2001-11-04;1.0;1.1
2001-11-05;1.0;1.0
2001-11-06;1.0;1.0
2001-11-07;1.1;1.7
2001-11-08;7.5;5.8
2001-11-09;11.7;14.3
2001-11-10;6.4;11.4
2001-11-11;4.5;8.7
2001-11-12;3.7;7.3
2001-11-13;3.7;9.0
2001-11-14;3.5;7.8
2001-11-15;3.0;6.4
2001-11-16;2.7;5.0
2001-11-17;2.5;4.3
2001-11-18;2.3;3.4
2001-11-19;2.1;2.7
2001-11-20;1.9;2.2
2001-11-21;1.7;1.9
2001-11-22;2.4;3.2
2001-11-23;8.0;11.4
2001-11-24;6.8;10.5
2001-11-25;8.0;14.5
2001-11-26;11.0;17.8
2001-11-27;16.2;21.5
2001-11-28;15.2;20.1
2001-11-29;12.8;16.9
2001-11-30;18.3;25.2
2001-12-01;30.9;38.6
2001-12-02;24.5;26.9
2001-12-03;17.2;21.6
2001-12-04;13.4;18.5
2001-12-05;13.6;20.1
2001-12-06;11.5;17.2
2001-12-07;9.4;14.4
2001-12-08;7.6;11.0
2001-12-09;6.4;8.6
2001-12-10;5.4;6.7
2001-12-11;4.7;5.4
2001-12-12;4.3;4.5
2001-12-13;4.0;3.7
2001-12-14;3.1;3.1
2001-12-15;2.6;2.6
2001-12-16;3.0;2.3
2001-12-17;2.5;2.0
2001-12-18;2.4;1.8
2001-12-19;2.4;1.8
2001-12-20;2.5;3.9
2001-12-21;2.2;3.2
2001-12-22;2.6;2.7
2001-12-23;2.2;2.3
2001-12-24;1.5;2.0
2001-12-25;3.9;2.9
2001-12-26;7.8;16.2
2001-12-27;6.1;12.4
2001-12-28;8.5;11.7
2001-12-29;21.9;40.3
2001-12-30;15.2;25.7
2001-12-31;10.7;19.5
2002-01-01;7.8;14.9
2002-01-02;5.1;11.5
2002-01-03;5.7;8.9
2002-01-04;3.7;7.0
2002-01-05;3.5;5.6
2002-01-06;4.2;4.5
2002-01-07;5.3;3.8
2002-01-08;4.2;4.4
2002-01-09;3.1;3.6
2002-01-10;2.5;3.1
2002-01-11;3.2;2.6
2002-01-12;2.8;2.5
2002-01-13;2.7;4.7
2002-01-14;2.5;8.9
2002-01-15;2.5;7.0
2002-01-16;2.5;5.6
2002-01-17;2.5;5.4
2002-01-18;2.4;5.5
2002-01-19;2.6;7.1
2002-01-20;8.1;17.3
2002-01-21;54.3;18.9
2002-01-22;39.6;14.6
2002-01-23;25.4;12.2
2002-01-24;22.3;12.9
2002-01-25;20.1;15.0
2002-01-26;16.5;15.7
2002-01-27;42.6;34.3
2002-01-28;64.6;58.6
2002-01-29;35.9;36.5
2002-01-30;23.8;25.2
2002-01-31;17.7;19.4
2002-02-01;13.4;15.0
2002-02-02;10.6;11.7
2002-02-03;8.7;9.2
2002-02-04;7.4;7.4
2002-02-05;6.6;6.6
2002-02-06;6.6;8.2
2002-02-07;5.6;7.2
2002-02-08;5.7;10.8
2002-02-09;5.9;12.8
2002-02-10;17.8;25.2
2002-02-11;20.7;25.1
2002-02-12;22.3;28.8
2002-02-13;98.2;105.4
2002-02-14;80.1;76.5
2002-02-15;40.7;38.0
2002-02-16;25.8;25.9
2002-02-17;18.9;19.9
2002-02-18;15.0;15.7
2002-02-19;13.3;17.4
2002-02-20;41.1;45.3
2002-02-21;55.7;65.9
2002-02-22;36.6;34.1
2002-02-23;38.8;36.7
2002-02-24;30.7;35.8
2002-02-25;31.5;33.7
2002-02-26;51.2;41.4
2002-02-27;52.5;50.7
2002-02-28;37.5;30.2
2002-03-01;26.3;24.1
2002-03-02;19.5;19.2
2002-03-03;15.1;15.1
2002-03-04;12.3;12.0
2002-03-05;10.5;9.7
2002-03-06;9.3;8.1
2002-03-07;8.5;9.0
2002-03-08;7.1;7.5
2002-03-09;6.4;6.3
2002-03-10;5.9;5.8
2002-03-11;5.3;5.0
2002-03-12;4.9;4.7
2002-03-13;4.6;4.6
2002-03-14;5.1;8.1
2002-03-15;7.1;15.1
2002-03-16;7.1;12.0
2002-03-17;6.5;9.6
2002-03-18;6.1;8.6
2002-03-19;9.2;16.2
2002-03-20;12.0;21.0
2002-03-21;19.2;23.4
2002-03-22;19.0;19.2
2002-03-23;18.7;20.2
2002-03-24;15.2;15.8
2002-03-25;12.6;12.5
2002-03-26;10.4;10.0
2002-03-27;8.6;8.2
2002-03-28;7.3;6.8
2002-03-29;6.5;5.7
2002-03-30;5.8;4.9
2002-03-31;5.2;4.3
2002-04-01;4.8;4.0
2002-04-02;4.3;3.6
2002-04-03;4.0;3.3
2002-04-04;3.8;3.1
2002-04-05;3.6;2.9
2002-04-06;3.2;2.8
2002-04-07;2.9;2.7
2002-04-08;2.8;2.6
2002-04-09;2.7;2.6
2002-04-10;2.5;2.5
2002-04-11;2.5;2.4
2002-04-12;2.5;2.4
2002-04-13;2.5;2.4
2002-04-14;2.4;2.5
2002-04-15;2.2;2.6
2002-04-16;3.1;3.9
2002-04-17;5.4;6.5
2002-04-18;5.4;7.7
2002-04-19;5.9;9.1
2002-04-20;7.6;11.1
2002-04-21;6.4;8.8
2002-04-22;5.5;7.1
2002-04-23;5.0;5.9
2002-04-24;4.6;4.9
2002-04-25;4.2;4.2
2002-04-26;4.0;3.7
2002-04-27;4.0;4.1
2002-04-28;4.0;5.1
2002-04-29;4.8;7.6
2002-04-30;5.0;8.6
2002-05-01;4.2;7.2
2002-05-02;3.8;6.1
2002-05-03;3.6;5.2
2002-05-04;4.4;7.6
2002-05-05;55.4;29.6
2002-05-06;39.7;23.9
2002-05-07;23.7;19.4
2002-05-08;16.2;15.0
2002-05-09;12.0;11.8
2002-05-10;9.2;9.4
2002-05-11;9.5;8.6
2002-05-12;16.2;15.8
2002-05-13;14.2;17.4
2002-05-14;11.3;14.2
2002-05-15;9.6;15.1
2002-05-16;7.6;11.8
2002-05-17;6.5;9.4
2002-05-18;5.7;7.7
2002-05-19;5.2;8.0
2002-05-20;4.4;6.5
2002-05-21;3.9;5.4
2002-05-22;3.6;4.5
2002-05-23;3.5;4.1
2002-05-24;3.3;4.2
2002-05-25;3.0;3.9
2002-05-26;2.7;3.5
2002-05-27;2.5;3.2
2002-05-28;2.3;2.9
2002-05-29;2.1;2.6
2002-05-30;2.0;2.5
2002-05-31;1.8;2.3
2002-06-01;1.7;2.2
2002-06-02;1.6;2.1
2002-06-03;1.5;2.0
2002-06-04;1.7;2.0
2002-06-05;2.2;2.1
