;snw_dth;snw_lpt;snw_aim;snw_pim;snw_mlt;sl0_mse;sl1_mse;sl0_prf;sl0_arf;sl1_etn;urr_dth;lrr_dth;urr_rnf;urr_pln;lrr_rnf;rnf_sfc;rnf_gnd;mod_bal
2001-01-01;25.369528;3.099867;3.703249;3.927224;7.630473;16.328121;196.818527;10.730339;0.029003;0.214690;4.569451;1.404288;1.281956;0.277596;0.013308;1.061822;0.233442;0.000015
2001-01-02;0.000000;6.431726;14.162505;11.207023;25.369528;42.807682;196.503448;31.801254;5.230015;0.406747;8.528593;1.614100;1.044667;0.226206;0.016394;0.870420;0.190641;0.000010
2001-01-03;0.000000;1.194395;0.000000;0.000000;0.000000;42.720722;196.275604;1.194395;1.186958;0.322242;7.512527;1.987370;1.810911;0.392113;0.018843;1.499987;0.329767;-0.000001
2001-01-04;0.000000;6.129237;0.000000;0.000000;0.000000;42.697536;196.040482;6.129237;6.055018;0.332527;11.528282;2.327121;1.676312;0.362951;0.023200;1.393831;0.305681;0.000001
2001-01-05;0.000000;21.276178;0.000000;0.000000;0.000000;42.798058;195.764893;21.276178;21.074354;0.376892;29.241142;2.898217;2.763231;0.598263;0.027167;2.287330;0.503068;-0.000002
2001-01-06;0.000000;0.582020;0.000000;0.000000;0.000000;42.697445;195.503113;0.582020;0.578016;0.366390;20.421227;4.079407;5.612299;1.215023;0.033834;7.196555;1.020189;0.000005
2001-01-07;0.000000;0.393747;0.000000;0.000000;0.000000;42.596447;195.356644;0.393747;0.388361;0.252852;15.518478;4.957827;4.278106;0.926042;0.047623;3.633418;0.779273;-0.000000
2001-01-08;0.000000;0.476080;0.000000;0.000000;0.000000;42.498062;195.212723;0.476080;0.466331;0.252058;12.009895;5.607193;3.267670;0.707244;0.057877;2.728744;0.596803;-0.000005
2001-01-09;0.000000;0.055849;0.000000;0.000000;0.000000;42.389980;195.088654;0.055849;0.054337;0.233665;8.994094;6.087959;2.523915;0.546224;0.065458;2.126878;0.462495;-0.000001
2001-01-10;0.000000;6.072149;0.000000;0.000000;0.000000;42.486126;194.939072;6.072149;5.864037;0.261549;12.444216;6.446339;1.984465;0.429450;0.071071;1.690447;0.365089;-0.000001
2001-01-11;0.000000;0.094835;0.000000;0.000000;0.000000;42.374855;194.782135;0.094835;0.092192;0.270853;9.354595;6.937127;2.615770;0.566043;0.075254;2.211151;0.479874;-0.000003
2001-01-12;0.002805;0.000000;0.000000;0.000000;0.000000;42.261021;194.766220;0.000000;0.000000;0.129740;6.964147;7.281382;1.965210;0.425238;0.080984;1.683866;0.362328;0.000009
2001-01-13;0.002805;0.000000;0.000000;0.000000;0.000000;42.148232;194.817642;0.000000;0.000000;0.061376;5.184561;7.512939;1.463026;0.316560;0.085003;1.276466;0.271562;-0.000009
2001-01-14;0.002805;0.000000;0.000000;0.000000;0.000000;42.035553;194.804077;0.000000;0.000000;0.126241;3.859730;7.660895;1.089171;0.235661;0.087706;0.972908;0.203969;0.000002
2001-01-15;0.002805;0.000000;0.000000;0.000000;0.000000;41.924400;194.890259;0.000000;0.000000;0.024978;2.873441;7.746900;0.810851;0.175438;0.089433;0.746656;0.153628;-0.000007
2001-01-16;0.002805;0.000000;0.000000;0.000000;0.000000;41.815075;194.999420;0.000000;0.000000;0.000175;2.139183;7.787070;0.603651;0.130607;0.090437;0.577959;0.116130;-0.000011
2001-01-17;0.104853;0.000000;0.000000;0.000000;0.000000;41.705635;194.970551;0.000000;0.000000;0.138306;1.592552;7.793396;0.449399;0.097232;0.090906;0.452111;0.088193;0.000004
2001-01-18;0.000000;0.506611;0.104853;0.000000;0.104853;41.644634;194.964584;0.611464;0.563103;0.115321;1.737612;7.776775;0.343684;0.074359;0.090980;0.365635;0.069029;0.000007
2001-01-19;0.000000;0.261283;0.000000;0.000000;0.000000;41.556850;194.939789;0.261283;0.239592;0.134265;1.528467;7.765809;0.368918;0.079819;0.090786;0.386113;0.073590;0.000005
2001-01-20;1.718199;0.000000;0.000000;0.000000;0.000000;41.448269;194.983170;0.000000;0.000000;0.065197;1.137894;7.744624;0.321100;0.069473;0.090658;0.346848;0.064910;0.000004
2001-01-21;7.469336;0.000000;0.000000;0.000000;0.000000;41.341377;195.085114;0.000000;0.000000;0.004939;0.847125;7.705935;0.239048;0.051721;0.090410;0.279446;0.050013;0.000009
2001-01-22;0.000000;2.055692;7.256079;0.213257;7.469336;42.203403;194.805527;9.525028;8.549888;0.392707;9.012083;7.684446;0.316459;0.068470;0.089959;0.342401;0.064017;-0.000005
2001-01-23;0.000000;7.934805;0.000000;0.000000;0.000000;42.455341;194.512543;7.934805;7.564799;0.411064;14.124947;8.030880;2.015794;0.436142;0.089708;1.733358;0.372144;-0.000012
2001-01-24;0.000000;2.529057;0.000000;0.000000;0.000000;42.407982;194.170898;2.529057;2.453389;0.464682;12.920634;8.587725;3.007105;0.650597;0.093752;2.548658;0.552199;-0.000011
2001-01-25;0.000000;3.586186;0.000000;0.000000;0.000000;42.399624;193.910858;3.586186;3.467571;0.387014;13.018303;9.086843;2.770532;0.599371;0.100253;2.361004;0.509780;-0.000001
2001-01-26;0.000000;5.811507;0.000000;0.000000;0.000000;42.465347;193.746201;5.811507;5.616056;0.294383;15.197206;9.592064;2.825852;0.611301;0.106079;2.411690;0.520241;0.000001
2001-01-27;0.000000;2.484242;0.000000;0.000000;0.000000;42.406185;193.600403;2.484242;2.411574;0.277633;13.678045;10.179134;3.231688;0.699048;0.111977;2.749398;0.594267;-0.000005
2001-01-28;0.000000;0.070810;0.000000;0.000000;0.000000;42.274643;193.443665;0.070810;0.068460;0.290636;10.250159;10.682061;2.874588;0.621758;0.118831;2.463400;0.530019;-0.000005
2001-01-29;0.000000;0.330713;0.000000;0.000000;0.000000;42.153046;193.320343;0.330713;0.316848;0.258792;7.941687;11.024199;2.158482;0.466839;0.124702;1.882586;0.400598;-0.000009
2001-01-30;0.024899;0.000000;0.000000;0.000000;0.000000;42.015278;193.148636;0.000000;0.000000;0.309480;5.912476;11.256327;1.668387;0.360825;0.128696;1.485061;0.312022;-0.000004
2001-01-31;0.056613;0.000000;0.000000;0.000000;0.000000;41.876354;193.048157;0.000000;0.000000;0.239405;4.401764;11.393542;1.242091;0.268621;0.131406;1.138576;0.234920;-0.000003
2001-02-01;1.343900;0.000000;0.000000;0.000000;0.000000;41.736595;192.967545;0.000000;0.000000;0.220370;3.277061;11.460516;0.924721;0.199982;0.133008;0.880240;0.177489;0.000001
2001-02-02;9.587850;0.000000;0.000000;0.000000;0.000000;41.599316;193.092560;0.000000;0.000000;0.012264;2.439735;11.475609;0.688444;0.148883;0.133790;0.687532;0.134702;0.000000
2001-02-03;0.000000;5.690892;5.410389;4.177461;9.587850;42.753845;192.830276;15.278742;13.978697;0.407803;15.519649;11.501453;0.738973;0.159810;0.133966;0.729062;0.143877;-0.000006
2001-02-04;0.000000;11.636791;0.000000;0.000000;0.000000;42.716019;192.401596;11.636791;11.521922;0.581374;22.849127;12.112629;3.447001;0.745444;0.134268;2.946314;0.634954;0.000003
2001-02-05;0.000000;3.867649;0.000000;0.000000;0.000000;42.606373;192.091293;3.867649;3.819587;0.468005;20.127064;12.984261;4.684723;1.013034;0.141402;4.810100;0.859920;0.000004
2001-02-06;0.000000;4.032910;0.000000;0.000000;0.000000;42.521248;191.663986;4.032910;3.953021;0.592338;18.798985;13.757056;4.275190;0.924374;0.151578;3.721895;0.786408;-0.000015
