;Intermet;RW_gauge;RW_cml;RW_gauge_cml;dwd;dwd_pws;dwd_pws_cml
2021-07-13 09:00:00;0.1;0.0;0.0;0.0;0.0;0.0;0.1
2021-07-13 10:00:00;0.2;0.0;0.0;0.0;0.2;0.1;0.1
2021-07-13 11:00:00;0.1;0.0;0.0;0.0;0.2;0.1;0.1
2021-07-13 12:00:00;0.1;0.0;0.0;0.0;0.2;0.1;0.1
2021-07-13 13:00:00;0.1;0.1;0.1;0.1;0.1;0.1;0.1
2021-07-13 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-13 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-13 16:00:00;0.0;0.0;0.0;0.0;0.1;0.1;0.1
2021-07-13 17:00:00;0.4;0.0;0.0;0.0;0.7;0.5;0.6
2021-07-13 18:00:00;0.3;0.4;0.5;0.4;0.6;0.2;0.2
2021-07-13 19:00:00;0.6;0.1;0.1;0.1;0.2;0.5;0.4
2021-07-13 20:00:00;4.6;0.1;0.1;0.1;3.8;4.6;4.1
2021-07-13 21:00:00;3.7;2.6;3.5;3.5;3.8;5.2;4.7
2021-07-13 22:00:00;0.8;4.5;4.0;4.2;1.8;0.4;0.4
2021-07-13 23:00:00;0.0;0.6;0.5;0.5;0.1;0.0;0.1
2021-07-14 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 06:00:00;0.0;0.0;0.0;0.0;0.1;0.0;0.0
2021-07-14 07:00:00;0.2;0.0;0.0;0.0;0.3;0.2;0.2
2021-07-14 08:00:00;1.7;0.1;0.1;0.1;1.5;2.5;2.2
2021-07-14 09:00:00;2.8;0.6;1.3;1.0;3.7;2.8;2.3
2021-07-14 10:00:00;3.2;2.1;1.4;1.6;3.9;3.1;2.8
2021-07-14 11:00:00;4.4;1.9;2.4;2.6;4.4;4.1;3.8
2021-07-14 12:00:00;8.8;2.9;2.6;2.5;11.3;10.8;9.8
2021-07-14 13:00:00;11.7;8.5;8.5;8.6;11.4;13.9;12.3
2021-07-14 14:00:00;9.0;12.7;10.7;11.2;8.5;9.0;8.0
2021-07-14 15:00:00;9.3;9.0;8.9;9.0;8.5;11.2;10.3
2021-07-14 16:00:00;9.3;6.1;9.3;8.6;8.0;10.5;10.0
2021-07-14 17:00:00;11.0;8.1;9.0;8.8;10.3;17.4;16.1
2021-07-14 18:00:00;14.0;9.9;11.5;11.0;11.2;20.3;18.1
2021-07-14 19:00:00;12.0;10.4;14.5;13.5;9.0;10.8;9.8
2021-07-14 20:00:00;8.0;9.0;11.3;10.6;9.6;8.2;5.5
2021-07-14 21:00:00;4.5;7.4;7.7;7.6;4.4;4.0;3.3
2021-07-14 22:00:00;0.4;5.2;5.2;5.1;0.4;0.2;0.2
2021-07-14 23:00:00;0.1;0.4;0.2;0.3;0.2;0.1;0.0
2021-07-15 00:00:00;0.1;0.1;0.0;0.0;0.1;0.1;0.1
2021-07-15 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 03:00:00;0.0;0.0;0.0;0.0;0.0;0.1;0.0
2021-07-15 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.1
2021-07-15 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 16:00:00;0.0;0.0;0.0;0.0;0.2;0.1;0.1
2021-07-15 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 21:00:00;0.1;0.0;0.0;0.0;0.0;0.1;0.1
2021-07-15 22:00:00;0.5;0.0;0.0;0.0;0.1;0.5;0.6
2021-07-15 23:00:00;0.1;0.0;0.0;0.0;0.1;0.2;0.3
2021-07-16 00:00:00;0.1;0.1;0.2;0.2;0.0;0.1;0.1
2021-07-16 01:00:00;0.5;0.0;0.0;0.0;0.4;0.5;0.4
2021-07-16 02:00:00;0.0;0.0;0.0;0.1;0.2;0.1;0.1
2021-07-16 03:00:00;0.1;0.0;0.0;0.0;0.0;0.1;0.1
2021-07-16 04:00:00;0.2;0.0;0.0;0.0;0.0;0.1;0.2
2021-07-16 05:00:00;0.1;0.0;0.0;0.0;0.1;0.1;0.2
2021-07-16 06:00:00;0.2;0.0;0.0;0.0;0.0;0.2;0.2
2021-07-16 07:00:00;0.1;0.0;0.0;0.0;0.1;0.1;0.1
2021-07-16 08:00:00;0.1;0.0;0.0;0.0;0.0;0.0;0.0
