;X;Y;lon;lat
Abentheuer;363147.62295062764;5502222.742553273;7.103842470755176;49.657008571103255
Adenau;364635.37793036026;5588921.249960783;7.093815121340333;50.43668386753904
Aggertalsperre;403970.3535821879;5654693.116052076;7.630383693202876;51.035751577372984
Angelburg-Frechenhausen;460144.3089845526;5628803.271999276;8.434319466718854;50.80958871005313
Assweiler;368028.7699467767;5452121.1169318;7.188109326790196;49.207662676527384
Auhammer;473616.70856720913;5653817.433985534;8.623720676469876;51.03529711739138
Avelsbach;333477.55344820727;5513677.157568944;6.688187390838005;49.75249317997319
Bachem;333277.8338413681;5484787.756239692;6.697690366775258;49.49279913011477
Bad_Münster_am_Stein_(Meteo);417196.7885612603;5518138.810082581;7.849129795988208;49.8099776322604
Bad_Münstereifel-Eicherscheid;342737.0417373067;5599621.677784495;6.78117431186503;50.52738602875898
Badinghagen;405500.5995254555;5660108.813098858;7.650787611599616;51.084691929064064
Baltersweiler;367162.7211522559;5483586.698553355;7.165734519695084;49.490366326670056
Baumholder;377787.3310599568;5497594.11497334;7.308026772200817;49.61853745388397
Berghausen;429237.0226705817;5568498.547733848;8.007150871901814;50.264386222839555
Bergneustadt/Wiedenest;408383.2713707042;5654258.211624345;7.693414662418801;51.032562304232535
Beuren;349836.7677646312;5510908.474389584;6.916199834047988;49.731915025303515
Bieberstein;420561.8846428867;5642874.799911164;7.869548487512921;50.932029272725806
Biedenkopf-Sackpfeife;467073.0437134835;5644476.595372492;8.531244664973174;50.950964610726146
Bingen-Gaulsheim;425573.4111220624;5534201.153203223;7.962442623011397;49.955520032193924
Bischoffen;461502.3646981802;5616655.234466787;8.4548641368869;50.70043968995767
Blankenheim;331788.03376782965;5588302.948737588;6.631920099690291;50.42263529713396
Bockeroth;375948.37153249525;5620996.823254414;7.242337525020178;50.72750925528934
Bollendorf;310093.21163072693;5525344.558751032;6.358184432811851;49.85039339483586
Bonn-Lessenich;362257.9274640882;5621172.023327869;7.048409028323601;50.72599942214807
Bonn-Rüngsdorf_(Meteo);370686.2954160548;5616277.628191933;7.169472947207721;50.683944001335476
Bornheim_Eichenkamp;359988.8027994527;5626897.457154729;7.014102618450299;50.77691428057888
Bornheim-Mertener_Heide;352870.9522322439;5626566.04074192;6.913346440823569;50.77217388248695
Brauneberg/Mosel_(Meteo);356316.76004171255;5529304.3465735605;6.999254423707551;49.89885535225043
Breidenbach;461167.5694547052;5637444.382056249;8.4479256929342;50.88736182588975
Breidfeld;290304.19686905073;5556525.061518578;6.06625740730964;50.12387099874027
Brenzingen;401425.5686881566;5636041.468993216;7.599150843396367;50.86764467627575
Bruchweiler;372380.07680704875;5518052.096456725;7.226517006070614;49.801340917952146
Bundenthal;413444.02199182677;5438515.326124369;7.814381737512178;49.09339770127377
Burg_Veynau;338643.56456151616;5612062.942701578;6.718068275717832;50.6380690463473
Börfink-Brunnen;361217.96386113326;5506365.088493547;7.0756525674897075;49.69380533110155
Büchelberg-Kläranlage;439871.5171537388;5430722.881938154;8.177487480827125;49.02645816474134
Büschdorf;317800.96945599094;5483346.87383783;6.484837731736345;49.475402112155315
