,station_id,elevation,lat,lon,original_id
0,Berlin-Tegel_4,36.0,52.5644,13.3088,430
1,Eppingen-Elsenz_2,220.0,49.1664,8.8523,1255
2,Eppingen-Elsenz_3,226.0,49.1661,8.8483,1255
3,Görlitz_8,238.48,51.1621,14.9506,1684
4,Görlitz_9,238.48,51.1621,14.9506,1684
5,Groß Kreutz-Krielow_2,31.0,52.4042,12.7923,1801
6,Groß Kreutz-Krielow_3,31.0,52.4169,12.8006,1801
7,Hohenstein-Bernloch_1,740.0,48.3551,9.3356,2292
8,Kemnath_2,460.0,49.8671,11.8807,2556
9,Leinefelde_3,356.0,51.3933,10.3123,2925
10,Leinefelde_4,355.87,51.3932,10.3123,2925
11,Mallersdorf-Pfaffenberg-Oberlindhart_5,390.0,48.7548,12.2118,3147
12,Plauen_4,386.0,50.4819,12.13,3946
13,Plauen_5,387.13,50.4818,12.13,3946
14,Schleiz_4,501.0,50.5679,11.8041,4464
15,Schleiz_5,501.38,50.5679,11.8041,4464
16,Vilgertshofen-Pflugdorf_6,682.0,47.9688,10.9156,5227
17,Vilgertshofen-Pflugdorf_7,682.0,47.9692,10.9152,5227
18,Nastätten_0,268.0,50.1989,7.8651,6186
19,Markt Erlbach-Mosbach_0,362.0,49.5314,10.6418,6312
20,Speichersdorf_0,463.0,49.8713,11.7883,19299
21,Abtsgmünd-Untergröningen_5,432.0,48.9219,9.9129,20
22,Adelsdorf (Kläranlage)_3,260.0,49.7175,10.9101,29
23,Großenkneten_4,43.5,52.9336,8.237,44
24,Aholfing_3,325.0,48.945,12.4639,46
25,Ahrensfelde_5,60.0,52.585,13.5634,53
26,Aldersbach-Kriestorf_4,340.0,48.6159,13.0506,73
27,Alfhausen_3,65.0,52.4853,7.9126,78
28,Alperstedt_3,158.0,51.095,11.0479,87
29,Alsfeld-Eifa_7,300.0,50.7446,9.345,91
30,Neuruppin-Alt Ruppin_1,49.84,52.9437,12.8518,96
31,Hagelstadt_1,363.5,48.896,12.217,103
32,Altendorf_1,388.0,49.4053,12.2852,118
33,"Bibra, Bad-Altenroda_4",265.0,51.2388,11.577,124
34,Altertheim-Oberaltertheim_5,300.0,49.7283,9.7692,130
35,Geringswalde-Altgeringswalde_3,295.5,51.0881,12.9326,131
36,Altomünster-Maisbrunn_4,510.5,48.406,11.3117,142
37,Altusried-Muthmannshofen_5,730.0,47.7922,10.0988,146
38,Alzey_10,215.0,49.7273,8.1164,150
39,Amberg-Unterammersricht_6,381.5,49.4691,11.8546,151
40,Amerang-Pfaffing_1,515.5,48.0197,12.2925,154
41,Amöneburg-Rüdigheim_3,210.0,50.784,8.9545,158
42,Andernach_2,75.0,50.4237,7.4202,161
43,Angermünde_9,53.91,53.0316,13.9908,164
44,Anklam_4,11.0,53.8408,13.6854,167
45,Arkona_3,42.0,54.6791,13.4344,183
46,Arnstein-Müdesheim_4,216.5,49.9694,9.9114,191
47,"Arolsen-Landau, Bad_4",265.0,51.3431,9.0763,194
48,Artern_6,163.91,51.3744,11.292,198
49,Lauperath-Scheidchen_3,517.0,50.085,6.3161,200
50,Aschau-Stein_3,681.0,47.7275,12.2982,205
51,Aßlar Klein-Altenstädten_1,200.0,50.58,8.4685,211
52,Sargstedt_7,170.0,51.9375,10.9897,213
53,Attendorn-Neulisternohl_1,298.0,51.1143,7.8807,216
54,Attenkam_2,670.0,47.8774,11.3643,217
55,Aue_4,393.0,50.5908,12.7139,222
56,Aufseß-Hochstahl_3,431.5,49.8823,11.2656,227
57,Augsburg_5,461.53,48.4253,10.9417,232
58,Aura im Sinngrund_2,292.5,50.1805,9.5743,240
59,Baden-Baden-Geroldsau_8,240.0,48.727,8.2457,257
60,Müllheim_4,275.0,47.8064,7.6387,259
